Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,070246,2017,09,16.8,Y
IDCJAC0001,070246,2017,10,46.2,Y
IDCJAC0001,070246,2017,11,101.3,Y
IDCJAC0001,070246,2017,12,121.0,Y
IDCJAC0001,070246,2018,01,39.2,Y
IDCJAC0001,070246,2018,02,72.8,Y
IDCJAC0001,070246,2018,03,3.6,Y
IDCJAC0001,070246,2018,04,23.6,Y
IDCJAC0001,070246,2018,05,18.8,Y
IDCJAC0001,070246,2018,06,28.2,Y
IDCJAC0001,070246,2018,07,6.8,Y
IDCJAC0001,070246,2018,08,31.4,Y
IDCJAC0001,070246,2018,09,30.6,Y
IDCJAC0001,070246,2018,10,16.4,Y
IDCJAC0001,070246,2018,11,73.2,Y
IDCJAC0001,070246,2018,12,88.2,Y
IDCJAC0001,070246,2019,01,47.6,Y
IDCJAC0001,070246,2019,02,33.8,Y
IDCJAC0001,070246,2019,03,81.6,Y
IDCJAC0001,070246,2019,04,16.0,Y
IDCJAC0001,070246,2019,05,51.0,Y
IDCJAC0001,070246,2019,06,20.0,Y
IDCJAC0001,070246,2019,07,7.6,Y
IDCJAC0001,070246,2019,08,20.0,Y
IDCJAC0001,070246,2019,09,31.0,Y
IDCJAC0001,070246,2019,10,26.6,Y
IDCJAC0001,070246,2019,11,14.2,Y
IDCJAC0001,070246,2019,12,2.4,Y
IDCJAC0001,070246,2020,01,16.2,N
IDCJAC0001,070246,2020,02,68.6,N
IDCJAC0001,070246,2020,03,114.2,N
IDCJAC0001,070246,2020,04,27.4,N
IDCJAC0001,070246,2020,05,19.6,Y
IDCJAC0001,070246,2020,06,48.8,N
IDCJAC0001,070246,2020,07,35.4,Y
IDCJAC0001,070246,2020,08,106.4,N
IDCJAC0001,070246,2020,09,50.0,N
IDCJAC0001,070246,2020,10,143.4,N
IDCJAC0001,070246,2020,11,107.2,N
IDCJAC0001,070246,2020,12,56.6,N
IDCJAC0001,070246,2021,01,63.0,N
IDCJAC0001,070246,2021,02,115.6,N
IDCJAC0001,070246,2021,03,132.6,Y
IDCJAC0001,070246,2021,04,6.4,Y
IDCJAC0001,070246,2021,05,45.4,Y
IDCJAC0001,070246,2021,06,114.8,N
IDCJAC0001,070246,2021,07,60.8,Y
IDCJAC0001,070246,2021,08,42.8,N
IDCJAC0001,070246,2021,09,116.0,N
IDCJAC0001,070246,2021,10,67.4,N
IDCJAC0001,070246,2021,11,0.0,N
IDCJAC0001,070246,2021,12,0.0,N
IDCJAC0001,070246,2022,01,102.6,Y
IDCJAC0001,070246,2022,02,75.4,N
IDCJAC0001,070246,2022,03,31.2,Y
IDCJAC0001,070246,2022,04,74.2,Y
IDCJAC0001,070246,2022,05,122.2,Y
IDCJAC0001,070246,2022,06,30.2,N
IDCJAC0001,070246,2022,07,15.8,N
IDCJAC0001,070246,2022,08,142.6,N
