Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086232,2006,02,55.0,Y
IDCJAC0001,086232,2006,03,18.2,Y
IDCJAC0001,086232,2006,04,47.8,Y
IDCJAC0001,086232,2006,06,11.2,Y
IDCJAC0001,086232,2006,07,41.8,Y
IDCJAC0001,086232,2006,08,31.0,Y
IDCJAC0001,086232,2006,09,30.4,Y
IDCJAC0001,086232,2006,11,28.8,Y
IDCJAC0001,086232,2006,12,14.4,Y
IDCJAC0001,086232,2007,01,31.0,Y
IDCJAC0001,086232,2007,02,16.6,Y
IDCJAC0001,086232,2007,04,22.8,Y
IDCJAC0001,086232,2007,05,41.6,Y
IDCJAC0001,086232,2007,06,41.4,Y
IDCJAC0001,086232,2007,07,64.4,Y
IDCJAC0001,086232,2007,08,15.0,Y
IDCJAC0001,086232,2007,09,19.4,Y
IDCJAC0001,086232,2007,10,21.8,Y
IDCJAC0001,086232,2007,11,58.0,Y
IDCJAC0001,086232,2007,12,76.6,Y
IDCJAC0001,086232,2008,01,17.2,Y
IDCJAC0001,086232,2008,02,25.2,Y
IDCJAC0001,086232,2008,03,70.4,Y
IDCJAC0001,086232,2008,04,17.2,Y
IDCJAC0001,086232,2008,05,38.4,Y
IDCJAC0001,086232,2008,06,16.0,Y
IDCJAC0001,086232,2008,07,46.2,Y
IDCJAC0001,086232,2008,08,51.8,Y
IDCJAC0001,086232,2008,09,14.6,Y
IDCJAC0001,086232,2008,10,12.8,Y
IDCJAC0001,086232,2008,11,46.4,Y
IDCJAC0001,086232,2008,12,75.8,Y
IDCJAC0001,086232,2009,01,1.0,Y
IDCJAC0001,086232,2009,02,3.2,Y
IDCJAC0001,086232,2009,03,39.2,Y
IDCJAC0001,086232,2009,04,37.2,Y
IDCJAC0001,086232,2009,05,11.6,Y
IDCJAC0001,086232,2009,06,23.0,Y
IDCJAC0001,086232,2009,07,37.6,Y
IDCJAC0001,086232,2009,08,35.0,Y
IDCJAC0001,086232,2009,09,67.8,Y
IDCJAC0001,086232,2009,10,22.0,Y
IDCJAC0001,086232,2009,11,94.2,Y
IDCJAC0001,086232,2009,12,43.2,Y
IDCJAC0001,086232,2010,01,29.0,Y
IDCJAC0001,086232,2010,02,41.8,Y
IDCJAC0001,086232,2010,03,95.8,Y
IDCJAC0001,086232,2010,05,24.8,Y
IDCJAC0001,086232,2010,06,53.6,Y
IDCJAC0001,086232,2010,07,21.2,Y
IDCJAC0001,086232,2010,08,56.0,Y
IDCJAC0001,086232,2010,09,40.0,Y
IDCJAC0001,086232,2010,10,139.0,Y
IDCJAC0001,086232,2010,11,114.2,Y
IDCJAC0001,086232,2010,12,85.2,Y
IDCJAC0001,086232,2011,01,89.0,Y
IDCJAC0001,086232,2011,02,161.8,Y
IDCJAC0001,086232,2011,03,23.9,Y
IDCJAC0001,086232,2011,04,96.9,Y
IDCJAC0001,086232,2011,05,61.6,Y
IDCJAC0001,086232,2011,06,34.0,Y
IDCJAC0001,086232,2011,07,39.6,Y
IDCJAC0001,086232,2011,08,23.6,Y
IDCJAC0001,086232,2011,09,72.4,Y
IDCJAC0001,086232,2011,10,67.8,Y
IDCJAC0001,086232,2011,11,113.2,Y
IDCJAC0001,086232,2011,12,79.0,Y
IDCJAC0001,086232,2012,01,30.6,Y
IDCJAC0001,086232,2012,02,59.0,Y
IDCJAC0001,086232,2012,03,62.0,Y
IDCJAC0001,086232,2012,04,56.6,Y
IDCJAC0001,086232,2012,05,78.6,Y
IDCJAC0001,086232,2012,06,73.8,Y
IDCJAC0001,086232,2012,07,59.6,Y
IDCJAC0001,086232,2012,08,52.0,Y
IDCJAC0001,086232,2012,09,42.6,Y
IDCJAC0001,086232,2012,10,36.0,Y
IDCJAC0001,086232,2012,11,39.8,Y
IDCJAC0001,086232,2012,12,27.6,Y
IDCJAC0001,086232,2013,01,8.8,Y
IDCJAC0001,086232,2013,02,69.0,Y
IDCJAC0001,086232,2013,03,41.6,Y
IDCJAC0001,086232,2013,04,23.4,Y
IDCJAC0001,086232,2013,05,44.6,Y
IDCJAC0001,086232,2013,06,97.4,Y
IDCJAC0001,086232,2013,07,71.6,Y
IDCJAC0001,086232,2013,08,64.6,Y
IDCJAC0001,086232,2013,09,87.5,Y
IDCJAC0001,086232,2013,10,52.0,Y
IDCJAC0001,086232,2013,11,61.6,Y
IDCJAC0001,086232,2013,12,43.2,Y
IDCJAC0001,086232,2014,01,14.8,Y
IDCJAC0001,086232,2014,02,24.0,Y
IDCJAC0001,086232,2014,03,27.6,Y
IDCJAC0001,086232,2014,04,76.4,Y
IDCJAC0001,086232,2014,05,41.0,Y
IDCJAC0001,086232,2014,06,54.4,Y
IDCJAC0001,086232,2014,07,27.4,Y
IDCJAC0001,086232,2014,08,35.2,Y
IDCJAC0001,086232,2014,09,36.2,Y
IDCJAC0001,086232,2014,10,46.2,Y
IDCJAC0001,086232,2014,11,59.2,Y
IDCJAC0001,086232,2014,12,36.8,Y
IDCJAC0001,086232,2015,01,56.8,Y
IDCJAC0001,086232,2015,02,41.4,Y
IDCJAC0001,086232,2015,03,24.4,Y
IDCJAC0001,086232,2015,05,42.8,Y
IDCJAC0001,086232,2015,07,65.0,Y
IDCJAC0001,086232,2015,08,41.0,Y
IDCJAC0001,086232,2015,09,33.2,Y
IDCJAC0001,086232,2015,10,11.8,Y
IDCJAC0001,086232,2015,11,46.4,Y
IDCJAC0001,086232,2016,01,53.4,Y
IDCJAC0001,086232,2016,02,9.2,Y
IDCJAC0001,086232,2016,03,38.2,Y
IDCJAC0001,086232,2016,04,49.7,Y
IDCJAC0001,086232,2016,05,60.2,Y
IDCJAC0001,086232,2016,06,71.3,Y
IDCJAC0001,086232,2016,07,68.6,Y
IDCJAC0001,086232,2016,08,69.4,Y
IDCJAC0001,086232,2016,09,104.6,Y
IDCJAC0001,086232,2016,10,70.2,Y
IDCJAC0001,086232,2016,11,36.4,Y
IDCJAC0001,086232,2016,12,47.7,Y
IDCJAC0001,086232,2017,01,33.2,Y
IDCJAC0001,086232,2017,02,47.0,Y
IDCJAC0001,086232,2017,03,29.2,Y
IDCJAC0001,086232,2017,04,142.7,Y
IDCJAC0001,086232,2017,05,29.6,Y
IDCJAC0001,086232,2017,06,21.4,Y
IDCJAC0001,086232,2017,07,35.6,Y
IDCJAC0001,086232,2017,09,46.7,Y
IDCJAC0001,086232,2017,10,43.4,Y
IDCJAC0001,086232,2017,11,46.2,Y
IDCJAC0001,086232,2017,12,119.2,Y
IDCJAC0001,086232,2018,01,73.6,Y
IDCJAC0001,086232,2018,02,1.2,Y
IDCJAC0001,086232,2018,03,24.6,Y
IDCJAC0001,086232,2018,04,19.0,Y
IDCJAC0001,086232,2018,05,72.2,Y
IDCJAC0001,086232,2018,06,47.2,Y
IDCJAC0001,086232,2018,07,22.0,Y
IDCJAC0001,086232,2018,08,49.4,Y
IDCJAC0001,086232,2018,09,19.0,Y
IDCJAC0001,086232,2018,10,24.9,Y
IDCJAC0001,086232,2018,11,89.6,Y
IDCJAC0001,086232,2018,12,117.3,Y
IDCJAC0001,086232,2019,01,12.6,Y
IDCJAC0001,086232,2019,02,20.3,Y
IDCJAC0001,086232,2019,03,14.6,Y
IDCJAC0001,086232,2019,04,11.6,Y
IDCJAC0001,086232,2019,05,63.5,Y
